pipeline_version,dataset,raw_missing_cells,n,d,matrix_rank,effective_rank_ratio,near_zero_singular_values,log10_condition_XtX,median_abs_correlation,frac_abs_corr_gt_0.50,frac_abs_corr_gt_0.70,frac_abs_corr_gt_0.90,robust_outlier_cell_rate,median_excess_kurtosis,q90_excess_kurtosis,frac_features_excess_kurtosis_gt_10
r5_final_inverse_map_complete_2026-08-31,breast_cancer,0,569,30,30,0.55877730606964,0,4.999252668222208,0.34500739714372836,0.3333333333333333,0.16091954022988506,0.04827586206896552,0.029818394844756884,3.0225901460447817,21.889799181929753,0.2
r5_final_inverse_map_complete_2026-08-31,credit_approval,67,690,42,38,0.801707063925494,4,27.472006616565015,0.04054309880126213,0.019744483159117306,0.011614401858304297,0.010452961672473868,0.017218771566597655,8.049269822952931,210.0764503099096,0.4523809523809524
r5_final_inverse_map_complete_2026-08-31,har,0,10299,561,540,0.36686478151560253,21,30.467093155479613,0.37929326239386807,0.41303157626687037,0.2307677616501146,0.05152151769798829,0.23411510973410188,0.5868975032005741,36.07210927610508,0.24420677361853832
